CustomerKey,Full Name,Gender,DateFirstPurchase,Customer city,Country
11046,Christine Yuan,Female,2019-02-06,Lavender Bay,Australia
11047,Jaclyn Lu,Female,2019-02-03,Geelong,Australia
11048,Jeremy Powell,Male,2019-02-10,Sunbury,Australia
11049,Carol Rai,Female,2021-03-09,Chula Vista,United States
11050,Alan Zheng,Male,2019-02-20,Hobart,Australia
11051,Daniel Johnson,Male,2021-12-29,Caloundra,Australia
11052,Heidi Lopez,Female,2019-02-17,Matraville,Australia
11053,Ana Price,Female,2021-01-17,San Diego,United States
11054,Deanna Munoz,Female,2019-02-03,Geelong,Australia
11055,Gilbert Raje,Male,2019-01-31,East Brisbane,Australia
11056,Michele Nath,Female,2019-02-26,Newcastle,Australia
11057,Carl Andersen,Male,2019-02-22,Lane Cove,Australia
11058,Marc Diaz,Male,2019-03-09,Findon,Australia
11059,Ashlee Andersen,Female,2021-02-18,Townsville,Australia
11060,Jon Zhou,Male,2019-03-19,Warrnambool,Australia
11061,Todd Gao,Male,2019-03-13,Gold Coast,Australia
11062,Noah Powell,Male,2021-01-07,Portland,United States
11063,Angela Murphy,Female,2021-01-12,Redmond,United States
11064,Chase Reed,Male,2021-01-25,Downey,United States
11065,Jessica Henderson,Female,2021-02-10,La Jolla,United States
11066,Grace Butler,Female,2021-05-31,Lebanon,United States
11067,Caleb Carter,Male,2021-08-18,Port Orchard,United States
11068,Tiffany Liang,Female,2021-04-30,Warrnambool,Australia
11069,Carolyn Navarro,Female,2019-04-17,Gold Coast,Australia
11070,Willie Raji,Male,2019-04-28,Sunbury,Australia
11071,Linda Serrano,Female,2021-03-01,Hawthorne,Australia
11072,Casey Luo,Female,2019-03-31,St. Leonards,Australia
11073,Amy Ye,Female,2021-03-23,Springwood,Australia
11074,Levi Arun,Male,2021-03-23,Cloverdale,Australia
11075,Felicia Jimenez,Female,2019-04-28,Bendigo,Australia
11076,Blake Anderson,Male,2019-04-21,Wollongong,Australia
11077,Leah Ye,Female,2019-04-15,Melton,Australia
11078,Gina Martin,Female,2021-02-15,Cliffside,Canada
11079,Donald Gonzalez,Male,2021-03-15,Geelong,Australia
11080,Damien Chander,Male,2019-04-10,Perth,Australia
11081,Savannah Baker,Female,2021-02-12,Concord,United States
11082,Angela Butler,Female,2021-01-22,Fremont,United States
11083,Alyssa Cox,Female,2021-01-06,Lincoln Acres,United States
11084,Lucas Phillips,Male,2021-01-04,Lebanon,United States
11085,Emily Johnson,Female,2021-12-06,Newport Beach,United States
11086,Ryan Brown,Male,2021-07-02,Santa Monica,United States
11087,Tamara Liang,Female,2021-02-25,Chula Vista,United States
11088,Hunter Davis,Male,2021-01-13,San Diego,United States
11089,Abigail Price,Female,2020-12-29,Long Beach,United States
11090,Trevor Bryant,Male,2019-08-07,Los Angeles,United States
11091,Dalton Perez,Male,2021-01-29,Haney,Canada
11092,Cheryl Diaz,Female,2019-04-08,East Brisbane,Australia
11093,Aimee He,Female,2019-04-07,Wollongong,Australia
11094,Cedric Ma,Male,2021-04-07,Cranbourne,Australia
11095,Chad Kumar,Male,2019-04-01,Port Macquarie,Australia
11096,Andrés Anand,Male,2019-04-11,North Sydney,Australia
11097,Edwin Nara,Male,2019-04-04,Warrnambool,Australia
11098,Mallory Rubio,Female,2021-02-11,Rhodes,Australia
11099,Adam Ross,Male,2019-04-07,Port Macquarie,Australia
11100,Latasha Navarro,Female,2019-04-16,Cloverdale,Australia
11101,Abby Sai,Female,2019-04-29,Cranbourne,Australia
11102,Julia Nelson,Female,2021-07-16,Sydney,Australia
11103,Cassie Chande,Female,2019-04-15,Darlinghurst,Australia
11104,Edgar Sara,Male,2019-05-04,Gold Coast,Australia
11105,Candace Fernandez,Female,2019-05-14,Matraville,Australia
11106,Jessie Liu,Male,2019-05-18,Warrnambool,Australia
11107,Bianca Lin,Female,2019-05-01,St. Leonards,Australia
11108,Kari Alvarez,Female,2019-05-03,Port Macquarie,Australia
11109,Ruben Kapoor,Male,2019-05-10,South Melbourne,Australia
11110,Curtis Yang,Male,2019-05-01,Darlinghurst,Australia
11111,Meredith Gutierrez,Female,2019-05-20,Geelong,Australia
11112,Crystal Wang,Female,2019-05-25,Hervey Bay,Australia
11113,Micheal Blanco,Male,2021-02-01,Perth,Australia
11114,Leslie Moreno,Female,2021-03-18,Rhodes,Australia
11115,Alvin Cai,Male,2021-02-10,St. Leonards,Australia
11116,Clinton Carlson,Male,2021-03-15,Sydney,Australia
11117,April Deng,Female,2019-05-06,Matraville,Australia
11118,Alvin Zeng,Male,2021-07-10,Lavender Bay,Australia
11119,Evan James,Male,2021-02-03,Port Macquarie,Australia
11120,Beth Jiménez,Female,2019-05-14,Sydney,Australia
11121,Orlando Suarez,Male,2021-06-24,Newcastle,Australia
11122,Byron Vazquez,Male,2021-02-21,North Sydney,Australia
11123,Philip Alvarez,Male,2021-04-17,Sunbury,Australia
11124,Ross Jordan,Male,2019-05-05,Warrnambool,Australia
11125,Dana Navarro,Female,2021-01-31,Seaford,Australia
11126,Shaun Carson,Male,2019-05-28,North Ryde,Australia
11127,Jan Edwards,Female,2021-04-10,San Gabriel,United States
11128,Samantha Long,Female,2021-06-19,Renton,United States
11129,Julia Wright,Female,2019-08-06,Sedro Woolley,United States
11130,Caroline Russell,Female,2021-12-09,Lebanon,United States
11131,Amanda Rivera,Female,2021-10-18,Haney,Canada
11132,Melissa Richardson,Female,2021-04-09,Langford,Canada
11133,Angela Griffin,Female,2021-12-30,Lake Oswego,United States
11134,Larry Townsend,Male,2019-05-03,Perth,Australia
11135,Marcus Harris,Male,2021-04-18,Burlingame,United States
11136,Brianna Morgan,Female,2021-01-03,Metchosin,Canada
11137,Jasmine Taylor,Female,2021-07-31,Spokane,United States
11138,Lauren Davis,Female,2021-09-19,Glendale,United States
11139,Tanya Moreno,Female,2021-09-14,Cloverdale,Australia
11140,Javier Alvarez,Male,2021-03-19,Burbank,United States
11141,Nicole Ramirez,Female,2021-05-16,Daly City,United States
11142,Eduardo Patterson,Male,2021-02-13,Langford,Canada
11143,Jonathan Henderson,Male,2021-06-15,Lakewood,United States
11144,Edward Hernandez,Male,2021-01-25,Ballard,United States
11145,Jasmine Coleman,Female,2021-01-25,Beaverton,United States
11146,Karla Goel,Female,2021-02-05,Matraville,Australia
11147,Ernest Wu,Male,2019-05-13,Warrnambool,Australia
11148,Ross Vazquez,Male,2021-03-07,East Brisbane,Australia
11149,Theodore Gill,Male,2021-06-04,Hervey Bay,Australia
11150,Russell Shen,Male,2021-03-27,Sunbury,Australia
11151,Melinda Gill,Female,2019-05-15,Sydney,Australia
11152,James Williams,Male,2021-01-09,Puyallup,United States
11153,Angela James,Female,2021-03-29,Renton,United States
11154,Megan Walker,Female,2021-01-10,Woodburn,United States
11155,Hunter Robinson,Male,2021-01-06,Burbank,United States
11156,Maria Roberts,Female,2021-01-08,Lakewood,United States
11157,Hannah Long,Female,2021-07-24,Tacoma,United States
11158,Jason Wright,Male,2021-01-19,San Gabriel,United States
11159,Brianna Hughes,Female,2021-09-08,Woodland Hills,United States
11160,Maurice Tang,Male,2021-02-21,Concord,United States
11161,Emily Wood,Female,2021-06-01,Concord,United States
11162,Chase Cox,Male,2021-02-18,La Jolla,United States
11163,Gabriel Wang,Male,2021-05-01,Spring Valley,United States
11164,Devin Brooks,Male,2021-04-27,Torrance,United States
11165,Jocelyn Alexander,Female,2021-05-25,Oakland,United States
11166,Ashley Martinez,Female,2021-10-14,Olympia,United States
11167,Jasmine Barnes,Female,2021-01-07,Issaquah,United States
11168,David Rodriguez,Male,2021-01-15,Oakland,United States
11169,Bryce Richardson,Male,2021-05-26,Coronado,United States
11170,Carol Howard,Female,2021-08-26,Burien,United States
11171,Jonathan Hill,Male,2019-08-20,Woodland Hills,United States
11172,Gabrielle Adams,Female,2021-05-03,Lynnwood,United States
11173,Sarah Thomas,Female,2021-03-02,W. Linn,United States
11174,Nicholas Robinson,Male,2021-07-13,Los Angeles,United States
11175,Luis Wang,Male,2019-08-28,Beverly Hills,United States
11176,Mason Roberts,Male,2021-02-02,Haney,Canada
11177,Jose Flores,Male,2021-03-29,San Diego,United States
11178,Nathan Johnson,Male,2021-02-21,Lakewood,United States
11179,Molly Rodriguez,Female,2021-03-12,Beverly Hills,United States
11180,April Anand,Female,2021-03-17,Chula Vista,United States
11181,Devin Martin,Male,2021-05-07,Los Angeles,United States
11182,Stephanie Torres,Female,2021-08-28,Sedro Woolley,United States
11183,Jasmine Lee,Female,2021-04-30,Santa Cruz,United States
11184,Meghan Hernandez,Female,2021-08-10,Concord,United States
11185,Ashley Henderson,Female,2021-02-21,Metchosin,Canada
11186,Sarah Price,Female,2021-10-18,Palo Alto,United States
11187,Jennifer Cooper,Female,2021-04-03,Burien,United States
11188,Catherine Morris,Female,2021-11-01,San Gabriel,United States
11189,Lawrence Blanco,Male,2019-08-26,Bellingham,United States
11190,Carson Bryant,Male,2021-08-28,Beverly Hills,United States
11191,Kristi Perez,Female,2019-08-11,Colma,United States
11192,James Brown,Male,2021-06-23,Seattle,United States
11193,Ian Gray,Male,2021-02-25,Woodburn,United States
11194,Jacqueline Price,Female,2021-03-13,Palo Alto,United States
11195,Megan Henderson,Female,2021-04-14,Renton,United States
11196,Alfredo Romero,Male,2021-03-03,Beaverton,United States
11197,Andrea Morris,Female,2021-05-02,Seattle,United States
11198,Brooke Sanders,Female,2021-02-05,Santa Cruz,United States
11199,Jacqueline Bennett,Female,2021-03-18,Burlingame,United States
11200,Jason Griffin,Male,2021-02-07,Victoria,Canada
11201,Amanda Foster,Female,2021-07-01,Santa Monica,United States
11202,Alexia Price,Female,2021-09-15,Lakewood,United States
11203,Luis Diaz,Male,2021-02-20,Port Hammond,Canada
11204,Destiny Rivera,Female,2021-08-09,Beaverton,United States
11205,Abby Fernandez,Female,2021-07-27,Burien,United States
11206,Blake Flores,Male,2021-05-11,Lynnwood,United States
11207,Danielle Cox,Female,2021-01-31,Renton,United States
11208,Maria Reed,Female,2021-03-04,Glendale,United States
11209,Allison Evans,Female,2021-03-25,Lincoln Acres,United States
11210,Edward Wood,Male,2021-05-06,West Covina,United States
11211,Samantha Russell,Female,2021-02-01,Haney,Canada
11212,Chloe Campbell,Female,2021-01-30,Metchosin,Canada
11213,Stephanie Murphy,Female,2021-03-28,Edmonds,United States
11214,Charles Miller,Male,2021-08-14,Milwaukie,United States
11215,Ana Perry,Female,2021-02-15,Royal Oak,Canada
11216,Jasmine Torres,Female,2019-08-15,Portland,United States
11217,Natalie Adams,Female,2019-08-10,Portland,United States
11218,Olivia Brown,Female,2021-02-28,Tacoma,United States
11219,Charles Cook,Male,2021-10-29,Woodburn,United States
11220,Erica Huang,Female,2021-03-14,Colma,United States
11221,Nathan Perry,Male,2021-04-07,Lakewood,United States
11222,Alexandra Rivera,Female,2021-11-01,Santa Monica,United States
11223,Hailey Patterson,Female,2021-01-29,Langley,Canada
11224,Tiffany Li,Female,2019-08-07,Burien,United States
11225,Madison Lee,Female,2021-06-22,Renton,United States
11226,Sydney Ross,Female,2021-02-21,W. Linn,United States
11227,Marshall Chavez,Male,2019-08-03,Colma,United States
11228,Ashley Jones,Female,2021-10-25,El Cajon,United States
11229,Adrian Stewart,Male,2021-07-27,Redwood City,United States
11230,Amber Turner,Female,2021-07-16,Santa Monica,United States
11231,Dennis Zhang,Male,2021-02-10,Bremerton,United States
11232,Hailey Bryant,Female,2021-09-20,Everett,United States
11233,Todd Li,Male,2021-02-08,Berkeley,United States
11234,Anna Griffin,Female,2021-02-08,Long Beach,United States
11235,Angel Stewart,Male,2021-07-04,Ballard,United States
11236,Jeremy Butler,Male,2021-10-03,Bellingham,United States
11237,Clarence Anand,Male,2019-09-05,Solingen,Germany
11238,Mayra Prasad,Female,2019-01-06,Birmingham,United Kingdom
11239,Latoya Goel,Female,2019-01-19,London,United Kingdom
11240,Anne Hernandez,Female,2019-02-27,Watford,United Kingdom
11241,Lisa Cai,Female,2020-09-10,Les Ulis,France
11242,Larry Munoz,Male,2020-09-19,Versailles,France
11243,Robin Alvarez,Female,2019-02-21,Esher-Molesey,United Kingdom
11244,Alexis Coleman,Female,2019-02-12,Runcorn,United Kingdom
11245,Ricky Vazquez,Male,2019-09-26,Hamburg,Germany
11246,Latasha Rubio,Female,2019-10-03,Hamburg,Germany
11247,Claudia Zhou,Female,2019-02-18,Lancaster,United Kingdom
11248,Tristan Alexander,Male,2021-07-14,Saint-Denis,France
11249,Cindy Patel,Female,2019-10-09,Sulzbach Taunus,Germany
11250,Shannon Liu,Female,2019-03-17,Woolston,United Kingdom
11251,Xavier Long,Male,2021-10-18,Haney,Canada
11252,Nicholas Thompson,Male,2019-08-14,Lemon Grove,United States
11253,José Hernandez,Male,2021-03-01,Victoria,Canada
11254,Johnathan Vance,Male,2021-11-23,Burien,United States
11255,Colin Lin,Male,2021-02-23,Burien,United States
11256,Katelyn Hernandez,Female,2021-04-15,Lynnwood,United States
11257,Jacqueline Powell,Female,2019-08-24,Newport Beach,United States
11258,Xavier Hill,Male,2021-05-21,Palo Alto,United States
11259,Victoria Stewart,Female,2019-09-04,Salem,United States
11260,Katelyn Kelly,Female,2021-02-05,Burlingame,United States
11261,Stephanie Collins,Female,2019-09-27,San Diego,United States
11262,Jennifer Simmons,Female,2021-02-27,Port Hammond,Canada
11263,Trinity Richardson,Female,2019-08-29,Burien,United States
11264,Eduardo Martin,Male,2021-01-02,Issaquah,United States
11265,Elizabeth Jones,Female,2021-01-03,Kirkland,United States
11266,Taylor Howard,Female,2019-09-10,Port Orchard,United States
11267,David Diaz,Male,2019-09-17,Burlingame,United States
11268,Katelyn Carter,Female,2021-05-29,Coronado,United States
11269,Ryan Foster,Male,2021-08-22,Daly City,United States
11270,Robert Lee,Male,2019-09-10,Lakewood,United States
11271,Danielle Reed,Female,2019-09-27,San Francisco,United States
11272,Lauren Martinez,Female,2019-09-19,Beverly Hills,United States
11273,Nathan Lal,Male,2021-05-14,La Jolla,United States
11274,Kyle Foster,Male,2019-08-29,Bellingham,United States
11275,Jenny Rai,Female,2019-08-30,Colma,United States
11276,Nancy Chapman,Female,2021-01-29,Cliffside,Canada
11277,Charles Jackson,Male,2021-02-02,Royal Oak,Canada
11278,Jonathan Phillips,Male,2019-09-16,Edmonds,United States
11279,Amanda Cook,Female,2021-03-03,Everett,United States
11280,Robert Collins,Male,2021-07-01,Lynnwood,United States
11281,Megan Barnes,Female,2019-09-13,Burbank,United States
11282,Christian Thomas,Male,2019-08-31,Burien,United States
11283,Arturo Lal,Male,2021-05-29,Berkeley,United States
11284,Theresa Serrano,Female,2021-02-06,Chula Vista,United States
11285,Jeremy Anderson,Male,2021-07-27,Fremont,United States
11286,Hunter Griffin,Male,2019-09-21,Torrance,United States
11287,Henry Garcia,Male,2021-01-29,Cliffside,Canada
11288,Cindy Sanchez,Female,2021-03-05,Burbank,United States
11289,Maria Carter,Female,2019-09-08,Downey,United States
11290,Katelyn Sanchez,Female,2019-09-20,Lakewood,United States
11291,Jenna Wright,Female,2019-09-04,Lemon Grove,United States
11292,Seth Phillips,Male,2019-09-15,San Gabriel,United States
11293,Luke Long,Male,2021-02-24,Port Orchard,United States
11294,Dalton Clark,Male,2021-09-25,Issaquah,United States
11295,Taylor Lewis,Female,2019-09-25,Concord,United States
11296,Haley Richardson,Female,2019-09-01,Everett,United States
11297,Noah Coleman,Male,2019-09-26,Burbank,United States
11298,Jon Luo,Male,2019-09-12,Chula Vista,United States
11299,Orlando Vazquez,Male,2019-09-26,Burbank,United States
11300,Fernando Barnes,Male,2021-01-31,N. Vancouver,Canada
11301,Cameron Rodriguez,Male,2021-06-09,Ballard,United States
11302,Spencer Russell,Male,2019-09-06,Corvallis,United States
11303,Julia Coleman,Female,2019-09-02,Edmonds,United States
11304,Julia Garcia,Female,2021-03-20,Portland,United States
11305,Sean Evans,Male,2021-03-25,Chula Vista,United States
11306,Micah Zhou,Male,2021-06-30,Coronado,United States
11307,Hunter Rodriguez,Male,2019-09-04,Daly City,United States
11308,Ian Gonzales,Male,2021-09-07,Oregon City,United States
11309,Victoria Lewis,Female,2021-07-09,Beaverton,United States
11310,Erin Sanders,Female,2021-08-12,San Francisco,United States
11311,Gabrielle Lopez,Female,2021-04-18,Lynnwood,United States
11312,Sara Richardson,Female,2021-05-17,Lynnwood,United States
11313,Trevor Jenkins,Male,2021-05-07,Port Orchard,United States
11314,Mya Flores,Female,2021-02-25,Issaquah,United States
11315,Hailey Ward,Female,2021-05-20,Port Orchard,United States
11316,Luke Allen,Male,2021-01-12,Langford,Canada
11317,Victoria Russell,Female,2019-09-01,Salem,United States
11318,Jessica Wilson,Female,2021-10-17,Edmonds,United States
11319,Jade Bailey,Female,2019-09-09,Oakland,United States
11320,Morgan Hill,Female,2021-06-15,Glendale,United States
11321,Terrance Raman,Male,2021-02-23,Burien,United States
11322,Sydney Garcia,Female,2021-03-24,Bremerton,United States
11323,Jose Patterson,Male,2019-09-10,Daly City,United States
11324,Zachary Anderson,Male,2019-09-26,Glendale,United States
11325,Elijah Ross,Male,2019-09-19,Seattle,United States
11326,Rafael Xie,Male,2019-09-15,Beverly Hills,United States
11327,Jaime Moreno,Male,2019-09-26,Burbank,United States
11328,Julian Griffin,Male,2021-01-05,Newton,Canada
11329,Andy Alvarez,Male,2019-09-25,Concord,United States
11330,Ryan Thompson,Male,2021-02-12,Oak Bay,Canada
11331,Samantha Jenkins,Female,2021-02-07,Shawnee,Canada
11332,Deanna Ramos,Female,2019-10-15,Berlin,Germany
11333,Emily Miller,Female,2019-03-21,Newcastle upon Tyne,United Kingdom
11334,Nicole Brown,Female,2019-03-04,Stoke-on-Trent,United Kingdom
11335,Carla Raman,Female,2019-10-23,Hof,Germany
11336,Shaun Raji,Male,2020-09-27,Paris,France
11337,Jerome Romero,Male,2019-03-09,Watford,United Kingdom
11338,Frank Navarro,Male,2019-10-11,Bonn,Germany
11339,Dennis She,Male,2020-10-07,Paris,France
11340,Melody Munoz,Female,2020-10-27,Paris,France
11341,Randy Zeng,Male,2019-04-11,Cheltenham,United Kingdom
11342,Marshall Wang,Male,2021-07-12,Boulogne-sur-Mer,France
11343,Arthur Carlson,Male,2019-04-04,Oxon,United Kingdom
11344,Jessie Jimenez,Female,2019-05-13,Oxford,United Kingdom
11345,Robin Ramos,Female,2020-10-22,Tremblay-en-France,France
11346,Deanna Gutierrez,Female,2020-10-01,Paris,France
11347,Roy Navarro,Male,2021-03-16,Braunschweig,Germany
11348,Shawn Rai,Male,2021-03-31,Paderborn,Germany
11349,Mindy Luo,Female,2022-01-13,München,Germany
11350,Cara Zhou,Female,2021-02-05,Peterborough,United Kingdom
11351,Anne Ramos,Female,2019-06-12,London,United Kingdom
11352,Raymond Rodriguez,Male,2021-05-01,Pantin,France
11353,Carrie Ortega,Female,2019-06-12,Warrington,United Kingdom
11354,Deanna Suarez,Female,2021-12-03,Grevenbroich,Germany
11355,Roberto Gutierrez,Male,2021-09-26,Wokingham,United Kingdom
11356,Terrence Carson,Male,2019-05-10,Lavender Bay,Australia
11357,Ramon Ye,Male,2019-06-18,Caloundra,Australia
11358,Cynthia Malhotra,Female,2019-06-28,Coffs Harbour,Australia
11359,Jarrod Prasad,Male,2019-06-13,Malabar,Australia
11360,Tyrone Serrano,Male,2019-06-27,Rockhampton,Australia
11361,Cindy Ramos,Female,2021-10-01,Newcastle,Australia
11362,Damien Shan,Male,2021-03-29,Cranbourne,Australia
11363,Julian Ross,Male,2019-06-08,Melbourne,Australia
11364,Jennifer Collins,Female,2019-06-07,Geelong,Australia
11365,Brittney Sun,Female,2019-05-31,Findon,Australia
11366,Virginia Patel,Female,2021-06-24,Seaford,Australia
11367,Calvin Nara,Male,2021-07-07,North Sydney,Australia
11368,Edward Miller,Male,2019-06-24,Rockhampton,Australia
11369,Ashlee Tang,Female,2021-07-05,Findon,Australia
11370,Alicia Xu,Female,2021-07-13,South Melbourne,Australia
11371,Lacey Jai,Female,2021-11-07,Rockhampton,Australia
11372,Wendy Romero,Female,2019-06-07,Brisbane,Australia
11373,Carly Luo,Female,2021-08-27,Salzgitter,Germany
11374,Jimmy Ortega,Male,2021-04-15,Werne,Germany
11375,Francisco Martinez,Male,2021-10-17,High Wycombe,United Kingdom
11376,Lance Vazquez,Male,2021-10-15,Liverpool,United Kingdom
11377,David Robinett,Male,2021-02-28,Solingen,Germany
11378,Shannon Liang,Female,2020-10-17,Metz,France
11379,Gary Vazquez,Male,2020-10-02,Boulogne-Billancourt,France
11380,Mitchell Kumar,Male,2019-10-11,Saarlouis,Germany
11381,Meredith Raman,Female,2019-06-12,London,United Kingdom
11382,Edward Patterson,Male,2020-11-03,Roubaix,France
11383,Marie Gill,Female,2022-01-01,Roissy en Brie,France
11384,Tiffany Wang,Female,2021-08-02,Les Ulis,France
11385,Miguel Allen,Male,2021-07-06,York,United Kingdom
11386,Jaclyn Cai,Female,2021-11-02,Darmstadt,Germany
11387,Megan Ramirez,Female,2019-07-26,Gateshead,United Kingdom
11388,Joseph Martin,Male,2019-07-03,York,United Kingdom
11389,Karl Shan,Male,2021-11-17,Duesseldorf,Germany
11390,Christine Raji,Female,2021-11-07,Saint Germain en Laye,France
11391,Lindsay Xie,Female,2021-10-26,Salzgitter,Germany
11392,Willie Zhao,Male,2021-03-29,Frankfurt,Germany
11393,Kurt Pal,Male,2021-07-16,Saint Ouen,France
11394,George McDonald,Male,2019-07-04,Milton Keynes,United Kingdom
11395,Beth Gutierrez,Female,2019-11-14,Frankfurt,Germany
11396,Ian Lopez,Male,2021-10-26,Saarlouis,Germany
11397,Latoya Shan,Female,2021-07-07,Paris,France
11398,Colin Nath,Male,2019-07-03,Newcastle upon Tyne,United Kingdom
11399,Brenda Mehta,Female,2021-04-13,Paris,France
11400,Franklin Raji,Male,2019-07-15,London,United Kingdom
11401,Linda Navarro,Female,2020-10-28,Paris,France
11402,Kelli Cai,Female,2020-11-07,Orleans,France
11403,Nancy Schmidt,Female,2020-10-28,Saint Ouen,France
11404,Megan Taylor,Female,2021-02-10,Kassel,Germany
11405,Bonnie Goel,Female,2021-03-31,Bonn,Germany
11406,Latoya Xu,Female,2020-11-04,Paris,France
11407,Mario She,Male,2021-06-23,Münster,Germany
11408,Darren Gill,Male,2021-03-05,London,United Kingdom
11409,Jacqueline Hayes,Female,2020-11-17,Saint Germain en Laye,France
11410,Maurice Goel,Male,2020-11-13,Paris,France
11411,Devin Ross,Male,2021-08-04,Ingolstadt,Germany
11412,Sydney Bryant,Female,2019-11-05,Ingolstadt,Germany
11413,Megan Stewart,Female,2019-08-10,Gateshead,United Kingdom
11414,Ian Richardson,Male,2019-08-13,Kirkby,United Kingdom
11415,Randy She,Male,2021-08-16,Darmstadt,Germany
11416,Katrina Becker,Female,2020-11-07,Croix,France
11417,Lacey Zheng,Female,2020-11-04,Pantin,France
11418,Rafael Hu,Male,2021-12-17,Paderborn,Germany
11419,Kyle Scott,Male,2021-03-12,Watford,United Kingdom
11420,Jordan Turner,Male,2020-11-01,Roubaix,France
11421,Amy Sun,Female,2019-11-03,Offenbach,Germany
11422,Dustin Deng,Male,2019-08-22,Liverpool,United Kingdom
11423,Jasmine Stewart,Female,2019-12-10,Hamburg,Germany
11424,Pamela Garcia,Female,2021-04-21,Berlin,Germany
11425,Ariana Gray,Female,2020-11-22,Metz,France
11426,Kristopher Mehta,Male,2021-04-09,Braunschweig,Germany
11427,Desiree Dominguez,Female,2019-12-20,Kiel,Germany
11428,Deanna Perez,Female,2019-12-05,Poing,Germany
11429,Marco Lopez,Male,2020-12-14,Sèvres,France
11430,Casey Yuan,Female,2021-03-19,Bottrop,Germany
11431,Bryant Garcia,Male,2019-12-21,Hof,Germany
11432,Dominique Prasad,Female,2020-12-10,Roissy en Brie,France
11433,Maurice Shan,Male,2020-12-02,Tremblay-en-France,France
11434,Andre Lopez,Male,2021-06-15,West Sussex,United Kingdom
11435,Robin Romero,Female,2022-01-04,Kiel,Germany
11436,Taylor Cox,Female,2021-05-22,Watford,United Kingdom
11437,Alfredo Moreno,Male,2021-12-19,Villeneuve-d'Ascq,France
11438,Jenny Nara,Female,2021-02-05,Werne,Germany
11439,Janet Munoz,Female,2020-11-29,Paris La Defense,France
11440,Sergio Weber,Male,2021-03-27,Lille,France
11441,Erika Gomez,Female,2022-01-08,Paris,France
11442,Joseph Harris,Male,2021-09-29,Tremblay-en-France,France
11443,Grace Griffin,Female,2019-06-07,Hobart,Australia
11444,Tina Mehta,Female,2019-06-01,Bendigo,Australia
11445,Kari Kim,Female,2019-06-06,Silverwater,Australia
11446,Bethany Chander,Female,2019-06-18,Lane Cove,Australia
11447,Jennifer Roberts,Female,2019-06-28,Hervey Bay,Australia
11448,Kyle Patterson,Male,2019-06-16,Melbourne,Australia
11449,Alvin Hu,Male,2019-06-19,Seaford,Australia
